Career and Technical Education,,
,Career Clusters,
,,"Agriculture, Food and Natural Resources"
,,Architecture and Construction
,,"Arts, A/V Technology and Communication"
,,Business Management and Administration
,,Education and Training
,,Finance
,,Government and Public Administration
,,Health Science
,,Hospitality and Tourism
,,Human Services
,,Information Technology
,,"Law, Public Safety, Corrections and Security"
,,Manufacturing
,,Marketing
,,STEM Careers
,,"Transportation, Distribution and Logistics"
,Job Placement / Internships,
,Career Research and Exploration,
,Business Partnerships,
,College and Career Ready,
,,Linked Learning / Integrated Education
,,Applied Academics
,Project-Based Learning,
,Career Academies and Programs,